epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,489.903,0.58748,0.56125,1.08348,0.93777,0.21536,0.42857,0.3217,0.19009,0.28715,0.57143,0.40359,0.21529,1.28912,5.25776,3.18965,2.01754,0.00101296,0.00101296,0.00101296
48,500.207,0.48118,0.404,0.88753,0.96217,0.03403,0.85714,0.44953,0.18946,0.03403,0.85714,0.46683,0.25948,2.05343,4.64882,3.44067,2.32771,0.00101593,0.00101593,0.00101593
49,509.998,0.44778,0.41436,0.87987,0.99212,0.03403,0.85714,0.44953,0.18946,0.03403,0.85714,0.46683,0.25948,2.05343,4.64882,3.44067,2.32771,0.00101811,0.00101811,0.00101811
50,521.142,0.46968,0.36691,0.8069,0.93495,0.723,0.42857,0.49563,0.27951,0.723,0.42857,0.50821,0.39591,2.39522,4.36265,3.59771,3.02028,0.0010195,0.0010195,0.0010195
51,531.472,0.45183,0.41279,0.89745,0.95939,0.723,0.42857,0.49563,0.27951,0.723,0.42857,0.50821,0.39591,2.39522,4.36265,3.59771,3.02028,0.00101,0.00101,0.00101
52,541.987,0.50961,0.4079,0.84119,0.9625,0.64746,0.53028,0.50271,0.24246,0.6634,0.56444,0.52404,0.27382,1.52349,6.15184,3.43146,2.95,0.0009902,0.0009902,0.0009902
53,552.131,0.44451,0.36381,0.76694,0.94844,0.64746,0.53028,0.50271,0.24246,0.6634,0.56444,0.52404,0.27382,1.52349,6.15184,3.43146,2.95,0.0009704,0.0009704,0.0009704
54,562.185,0.6516,0.65973,1.02658,1.13591,0.96585,0.42857,0.57983,0.26339,0.86319,0.28571,0.44233,0.25052,1.98795,10.0988,3.23775,4.32006,0.0009506,0.0009506,0.0009506
55,572.786,0.46895,0.28447,0.7634,0.92627,0.96585,0.42857,0.57983,0.26339,0.86319,0.28571,0.44233,0.25052,1.98795,10.0988,3.23775,4.32006,0.0009308,0.0009308,0.0009308
56,583.422,0.46061,0.40238,0.81952,0.94701,0.9053,0.42857,0.66609,0.17204,0.9053,0.42857,0.59848,0.2226,2.15941,11.2802,3.33986,4.70593,0.000911,0.000911,0.000911
57,593.516,0.42959,0.25555,0.79556,0.99676,0.9053,0.42857,0.66609,0.17204,0.9053,0.42857,0.59848,0.2226,2.15941,11.2802,3.33986,4.70593,0.0008912,0.0008912,0.0008912
58,604.001,0.46422,0.37064,0.92084,0.98656,1,0.55519,0.84067,0.40226,1,0.55519,0.69793,0.36449,1.78057,10.6695,2.92968,3.60012,0.0008714,0.0008714,0.0008714
59,614.118,0.39131,0.27019,0.7,0.94327,1,0.55519,0.84067,0.40226,1,0.55519,0.69793,0.36449,1.78057,10.6695,2.92968,3.60012,0.0008516,0.0008516,0.0008516
60,624.086,0.46812,0.30726,0.80578,0.93101,0.88225,0.57143,0.85076,0.52377,0.88225,0.57143,0.76277,0.37695,1.14243,8.88694,2.58726,2.32228,0.0008318,0.0008318,0.0008318
61,634.056,0.52637,0.54045,0.85466,1.03464,0.88225,0.57143,0.85076,0.52377,0.88225,0.57143,0.76277,0.37695,1.14243,8.88694,2.58726,2.32228,0.000812,0.000812,0.000812
62,645.073,0.44994,0.3724,0.93838,0.923,0.94016,0.85714,0.93667,0.56473,0.78241,0.71429,0.76711,0.4122,1.0407,7.87728,2.28358,2.21858,0.0007922,0.0007922,0.0007922
63,654.865,0.38946,0.47531,0.72591,0.90577,0.94016,0.85714,0.93667,0.56473,0.78241,0.71429,0.76711,0.4122,1.0407,7.87728,2.28358,2.21858,0.0007724,0.0007724,0.0007724
64,665.233,0.4258,0.38631,0.77917,0.95648,0.79435,0.85714,0.933,0.63449,0.79435,0.85714,0.933,0.51616,1.00087,4.70092,2.04897,2.08633,0.0007526,0.0007526,0.0007526
65,675.423,0.45703,0.27931,0.7767,0.93223,0.79435,0.85714,0.933,0.63449,0.79435,0.85714,0.933,0.51616,1.00087,4.70092,2.04897,2.08633,0.0007328,0.0007328,0.0007328
66,685.567,0.44225,0.2946,0.74495,0.9121,0.97181,0.85714,0.91265,0.72074,0.97181,0.85714,0.85851,0.66807,0.87151,2.66959,1.93607,2.00727,0.000713,0.000713,0.000713
67,695.191,0.39424,0.27776,0.73803,0.9751,0.97181,0.85714,0.91265,0.72074,0.97181,0.85714,0.85851,0.66807,0.87151,2.66959,1.93607,2.00727,0.0006932,0.0006932,0.0006932
68,705.128,0.45853,0.20325,0.7304,0.98178,0.84251,0.85714,0.87265,0.64616,0.84251,0.85714,0.81932,0.69095,0.84861,1.43131,1.80921,1.75472,0.0006734,0.0006734,0.0006734
69,715.296,0.58299,0.30341,1.03156,1.05784,0.84251,0.85714,0.87265,0.64616,0.84251,0.85714,0.81932,0.69095,0.84861,1.43131,1.80921,1.75472,0.0006536,0.0006536,0.0006536
70,725.471,0.44521,0.30692,0.86663,0.9139,0.85445,0.85714,0.86944,0.69276,0.85445,0.85714,0.8229,0.71963,0.79184,1.06499,1.74491,1.57515,0.0006338,0.0006338,0.0006338
71,735.472,0.39396,0.24453,0.66368,0.90267,0.85445,0.85714,0.86944,0.69276,0.85445,0.85714,0.8229,0.71963,0.79184,1.06499,1.74491,1.57515,0.000614,0.000614,0.000614
72,745.292,0.43359,0.27514,0.79259,0.96363,0.86977,1,0.9775,0.73532,0.86977,1,0.9775,0.78616,0.82284,0.89968,1.68077,1.3944,0.0005942,0.0005942,0.0005942
